OPC,SAC,SF,FA,S,MAXSS,TA,ESA,SP,W,dynamic yield stress
470,0,30,0,750,0.6,0.6,3.3,0,231.25,95
470,0,30,0,500,0.6,0.6,4.95,0,242.5,46
470,0,30,0,750,0.6,0.6,4.95,0,259.4,115
470,0,30,0,500,0.6,0.6,4.95,0,243.5,60
500,0,0,0,500,0.6,1,3.3,0,220,120
500,0,0,0,500,0.6,1.5,3.3,0,220,188
500,0,80,0,500,0.6,0,3.3,0,220.0000001,115
500,0,0,0,500,0.6,0,3.3,0,220,15
500,0,0,0,500,0.6,0.6,3.3,0,220,45
500,0,0,0,500,0.6,1,3.3,0,220,138
500,0,0,0,500,0.6,1.5,3.3,0,220,238
500,0,30,0,500,0.6,0,3.3,0,220.0000002,47
500,0,50,0,500,0.6,0,3.3,0,220,90
500,0,80,0,500,0.6,0,3.3,0,220.0000001,122
500,0,0,0,500,0.6,0.6,3.3,0,220,46
500,0,0,0,500,0.6,1,3.3,0,220,165
500,0,0,0,500,0.6,1.5,3.3,0,220,242
500,0,30,0,500,0.6,0,3.3,0,220.0000002,60
500,0,50,0,500,0.6,0,3.3,0,220,120
500,0,80,0,500,0.6,0,3.3,0,220.0000001,125
500,0,0,0,500,0.6,0.6,3.3,0,220,75
500,0,0,0,500,0.6,1,3.3,0,220,177
500,0,0,0,500,0.6,1.5,3.3,0,220,245
500,0,30,0,500,0.6,0,3.3,0,220.0000002,61
500,0,50,0,500,0.6,0,3.3,0,220,121
500,0,80,0,500,0.6,0,3.3,0,220.0000001,175
500,0,0,0,500,0.6,1,3.3,0,220,195
500,0,0,0,500,0.6,1.5,3.3,0,220,280
500,0,30,0,500,0.6,0,3.3,0,220.0000002,70
500,0,50,0,500,0.6,0,3.3,0,220,135
500,0,80,0,500,0.6,0,3.3,0,220.0000001,225
390,110,0,0,500,0.6,0,3.3,0,220,140
450,50,0,0,500,0.6,0,3.3,0,220,120
390,110,0,0,500,0.6,0,3.3,0,220,180
500,0,0,0,500,0.6,0,3.3,0,220,15
470,30,0,0,500,0.6,0,3.3,0,220,120
420,80,0,0,500,0.6,0,3.3,0,220,165
390,110,0,0,500,0.6,0,3.3,0,220,170
450,50,0,0,500,0.6,0,3.3,0,220,145
420,80,0,0,500,0.6,0,3.3,0,220,178
470,30,0,0,500,0.6,0,3.3,0,220,145
450,50,0,0,500,0.6,0,3.3,0,220,163
500,0,0,0,500,0.6,0,3.3,0,220,11
470,0,30,0,500,0.6,0.6,3.3,0,220,120
470,0,30,0,500,0.6,0.6,3.3,0,220,120
500,0,0,0,500,0.6,0,3.3,0,220,16
500,0,0,0,500,0.6,0,3.3,0,220,12
470,0,30,0,500,0.6,0,3.3,0,220,120
470,0,30,0,500,0.6,0.6,3.3,0,220,75
750,0,50,200,1000,0.65,5,0,3,350,65.8
750,0,50,200,750,0.65,5,0,3,350,57.2
750,0,50,200,1000,1,5,0,3,350,58.3
750,0,50,200,750,1,5,0,3,350,52.6
750,0,50,200,1000,0.65,5,0,3,350,76.2
750,0,50,200,750,0.65,5,0,3,350,58.6
750,0,50,200,1000,1,5,0,3,350,65.3
750,0,50,200,750,1,5,0,3,350,58.3
750,0,50,200,1000,0.65,5,0,3,350,83.5
750,0,50,200,750,0.65,5,0,3,350,61.9
750,0,50,200,1000,1,5,0,3,350,60.5
750,0,50,200,750,1,5,0,3,350,56.2
750,0,50,200,1000,0.65,5,0,3,350,82.9
750,0,50,200,750,0.65,5,0,3,350,79.2
750,0,50,200,1000,1,5,0,3,350,65.7
750,0,50,200,750,1,5,0,3,350,59.8
1000,0,0,0,1250,1.5,5,0,500,330,830
750,0,50,200,937.5,1.5,0,0,250,330,850
1000,0,0,0,1250,1.5,5,0,500,330,905
750,0,50,200,937.5,1.5,0,0,250,330,850
1000,0,0,0,1250,1.5,7.5,0,400,330,837
688.52,0,295.08,0,872.13,0.5,0,0,344.26,344.26,3490
646,0,92.28,184.56,875.88,0.5,0,0,0,341.4508,1060
688.52,0,295.08,0,872.13,0.5,0,0,344.26,344.26,4540
646,0,92.28,184.56,875.88,0.5,0,0,0,341.4508,1060
688.52,0,295.08,0,424.59,1.75,0,0,245.9,344.26,3330
638.3,0,273.56,0,808.51,0.5,0,0,0,392.0998,2560
