OPC,SAC,SF,FA,S,MAXSS,TA,ESA,SP,W,plastic viscosity
470,0,30,0,0,0.6,0.6,3.3,0,197.5,1.2
470,0,30,0,335,0.6,0.6,3.3,0,212.5,2.1
470,0,30,0,750,0.6,0.6,3.3,0,231.25,2.75
470,0,30,0,0,0.6,0.6,4.95,0,208.75,1.25
470,0,30,0,335,0.6,0.6,4.95,0,231.25,2.2
470,0,30,0,500,0.6,0.6,4.95,0,242.5,1.32
470,0,30,0,750,0.6,0.6,4.95,0,259.4,2.65
470,0,30,0,0,0.6,0.6,6.6,0,220,0.65
470,0,30,0,335,0.6,0.6,6.6,0,250,0.85
470,0,30,0,500,0.6,0.6,6.6,0,265,0.68
470,0,30,0,750,0.6,0.6,6.6,0,287.5,0.55
470,0,30,0,500,0.6,0.6,4.95,0,243.5,1.35
470,0,30,0,500,1.18,0.6,4.95,0,243.5,1
470,0,30,0,500,0.6,0.6,6.6,0,265,0.89
470,0,30,0,500,1.18,0.6,6.6,0,265,0.55
500,0,0,0,500,0.6,0,3.3,0,220,1.25
500,0,0,0,500,0.6,0.6,3.3,0,220,2.15
500,0,0,0,500,0.6,1,3.3,0,220,3.16
500,0,0,0,500,0.6,1.5,3.3,0,220,3.38
500,0,30,0,500,0.6,0,3.3,0,220.0000002,1.35
500,0,50,0,500,0.6,0,3.3,0,220,2.1
500,0,80,0,500,0.6,0,3.3,0,220.0000001,2.92
500,0,0,0,500,0.6,0,3.3,0,220,1.35
500,0,0,0,500,0.6,0.6,3.3,0,220,2.25
500,0,0,0,500,0.6,1,3.3,0,220,3.18
500,0,0,0,500,0.6,1.5,3.3,0,220,3.55
500,0,30,0,500,0.6,0,3.3,0,220.0000002,1.65
500,0,50,0,500,0.6,0,3.3,0,220,2.22
500,0,80,0,500,0.6,0,3.3,0,220.0000001,3.3
500,0,0,0,500,0.6,0,3.3,0,220,1.77
500,0,0,0,500,0.6,0.6,3.3,0,220,2.27
500,0,0,0,500,0.6,1,3.3,0,220,3.2
500,0,0,0,500,0.6,1.5,3.3,0,220,3.68
500,0,30,0,500,0.6,0,3.3,0,220.0000002,1.68
500,0,50,0,500,0.6,0,3.3,0,220,2.28
500,0,80,0,500,0.6,0,3.3,0,220.0000001,3.5
500,0,0,0,500,0.6,0,3.3,0,220,1.79
500,0,0,0,500,0.6,0.6,3.3,0,220,2.55
500,0,0,0,500,0.6,1,3.3,0,220,3.45
500,0,0,0,500,0.6,1.5,3.3,0,220,3.75
500,0,30,0,500,0.6,0,3.3,0,220.0000002,1.95
500,0,50,0,500,0.6,0,3.3,0,220,2.28
500,0,80,0,500,0.6,0,3.3,0,220.0000001,3.75
500,0,0,0,500,0.6,0,3.3,0,220,1.93
500,0,0,0,500,0.6,0.6,3.3,0,220,2.9
500,0,0,0,500,0.6,1,3.3,0,220,3.6
500,0,0,0,500,0.6,1.5,3.3,0,220,3.78
500,0,30,0,500,0.6,0,3.3,0,220.0000002,2.1
500,0,80,0,500,0.6,0,3.3,0,220.0000001,3.77
420,80,0,0,500,0.6,0,3.3,0,220,2.15
390,110,0,0,500,0.6,0,3.3,0,220,2.1
500,0,0,0,500,0.6,0,3.3,0,220,1.15
450,50,0,0,500,0.6,0,3.3,0,220,2.1
390,110,0,0,500,0.6,0,3.3,0,220,3.25
500,0,0,0,500,0.6,0,3.3,0,220,1.3
450,50,0,0,500,0.6,0,3.3,0,220,3.16
420,80,0,0,500,0.6,0,3.3,0,220,2.2
390,110,0,0,500,0.6,0,3.3,0,220,3.8
500,0,0,0,500,0.6,0,3.3,0,220,1.15
470,30,0,0,500,0.6,0,3.3,0,220,3.16
450,50,0,0,500,0.6,0,3.3,0,220,2.1
420,80,0,0,500,0.6,0,3.3,0,220,3.5
390,110,0,0,500,0.6,0,3.3,0,220,3.58
500,0,0,0,500,0.6,0,3.3,0,220,1.2
470,30,0,0,500,0.6,0,3.3,0,220,2.1
450,50,0,0,500,0.6,0,3.3,0,220,3.2
420,80,0,0,500,0.6,0,3.3,0,220,3.78
390,110,0,0,500,0.6,0,3.3,0,220,2.1
500,0,0,0,500,0.6,0,3.3,0,220,1.3
470,30,0,0,500,0.6,0,3.3,0,220,3.2
450,50,0,0,500,0.6,0,3.3,0,220,3.4
500,0,0,0,500,0.6,0,3.3,0,220,1
470,0,30,0,500,0.6,0,3.3,0,220,1.3
500,0,0,0,500,0.6,0,3.3,0,220,1.2
470,0,30,0,500,0.6,0,3.3,0,220,1.4
500,0,0,0,500,0.6,0,3.3,0,220,1.21
470,0,30,0,500,0.6,0.6,3.3,0,220,2.1
500,0,0,0,500,0.6,0,3.3,0,220,1.22
470,0,30,0,500,0.6,0,3.3,0,220,2.15
470,0,30,0,500,0.6,0.6,3.3,0,220,2.1
750,0,50,200,1000,0.65,5,0,3,350,3.2
750,0,50,200,750,0.65,5,0,3,350,1.8
750,0,50,200,1000,1,5,0,3,350,1.9
750,0,50,200,750,1,5,0,3,350,1.5
750,0,50,200,1000,0.65,5,0,3,350,4
750,0,50,200,750,0.65,5,0,3,350,1.7
750,0,50,200,1000,1,5,0,3,350,2.1
750,0,50,200,750,1,5,0,3,350,1.9
750,0,50,200,1000,0.65,5,0,3,350,5.1
750,0,50,200,750,0.65,5,0,3,350,2.5
750,0,50,200,1000,1,5,0,3,350,2.3
750,0,50,200,750,1,5,0,3,350,1.6
750,0,50,200,1000,0.65,5,0,3,350,4
750,0,50,200,1000,1,5,0,3,350,3.1
750,0,50,200,750,1,5,0,3,350,2.15
470,0,30,0,0,0.6,0.6,3.3,0,197.5,1.25
470,0,30,0,500,0.6,0.6,6.6,0,265,0.65
500,0,0,0,500,0.6,1.5,3.3,0,220,3.35
500,0,80,0,500,0.6,0,3.3,0,220.0000001,3.2
500,0,80,0,500,0.6,0,3.3,0,220.0000001,3.7
390,110,0,0,500,0.6,0,3.3,0,220,3.3
470,30,0,0,500,0.6,0,3.3,0,220,2.2
500,0,0,0,500,0.6,0,3.3,0,220,1.22
750,0,50,200,1000,1,5,0,3,350,2.2
750,0,50,200,1000,1,5,0,3,350,3
